NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
FENOTEROL + IBUPROFENO;08/03/1995;1995;GENÉRICO;103940187;01/05/2005;25001001945;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS;61150819000120 - LABORATÓRIO AMERICANO DE FARMACOTERAPIA S/A;CADUCO/CANCELADO;;MEDICAMENTO
MESILATO DE DIIDROERGOCRISTINA;06/05/1996;1996;GENÉRICO;101810264;01/06/2001;25991007220;VASODILATADORES;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CARBAMAZEPINA;31/12/1998;1998;GENÉRICO;135480046;01/06/2001;25000003925;ANTICONVULSIVANTES;64858525000145 - MONSANTO DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICLOFENACO SODICO;09/08/1999;1999;GENÉRICO;100680146;01/04/2004;25000005852;ANTINFLAMATORIOS;56994502000130 - NOVARTIS BIOCIENCIAS S.A;CADUCO/CANCELADO;;MEDICAMENTO
REMIFEN;21/10/1999;1999;GENÉRICO;102980235;01/10/2004;25000007168;ANALGESICOS NARCOTICOS;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
CEFALEXINA;03/02/2000;2000;GENÉRICO;102350432;01/02/2020;25000054577;CEFALOSPORINAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL;03/02/2000;2000;GENÉRICO;103700278;01/02/2020;25000000814;ANTIMICOTICOS PARA USO TOPICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE RANITIDINA;03/02/2000;2000;GENÉRICO;102350430;01/02/2025;25000054567;ANTIULCEROSOS;57507378000365 - EMS S/A;VÁLIDO;CLORIDRATO DE RANITIDINA;MEDICAMENTO
FUROSEMIDA;03/02/2000;2000;GENÉRICO;103700277;01/02/2030;25000000813;DIURETICOS SIMPLES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;FUROSEMIDA;MEDICAMENTO
SULFATO DE SALBUTAMOL;03/02/2000;2000;GENÉRICO;103700276;01/02/2025;25000000812;BRONCODILATADORES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
