NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
DIPROGENTA;17/03/1975;1975;NOVO;100930031;01/06/2014;25000000617;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
METICORTEN;12/05/1976;1976;NOVO;100930065;01/10/2014;25992003137;GLICOCORTICOIDES SISTEMICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
TYLEX;12/08/1976;1976;NOVO;112363332;01/12/2029;25992006995;ANALGESICOS NARCOTICOS;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;VÁLIDO;FOSFATO DE CODEÍNA +  PARACETAMOL;MEDICAMENTO
CITOSTAL;05/11/1976;1976;NOVO;101800104;01/01/2027;25992016792;NITROSUREIAS ALQUILANTES;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;VÁLIDO;LOMUSTINA;MEDICAMENTO
ANTINUR;16/02/1977;1977;NOVO;102470064;01/06/2007;25992018094;ASSOCIACAO HOMEOPATICAS;76440528000143 - HOMEOPATIA WALDEMIRO PEREIRA LABORATORIO INDUSTRIAL FARMACEUTIC;CADUCO/CANCELADO;;MEDICAMENTO
BINOTAL;01/08/1977;1977;NOVO;104290009;01/08/2011;25992000517;PENICILINA DE AMPLO ESPECTRO;14372981000102 - BAYER S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CELESTONE SOLUSPAN;30/08/1977;1977;NOVO;100930123;01/08/2015;25000005230;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
LUNGACIBA;13/03/1978;1978;NOVO;137070019;01/03/0200;25991004677;PRODUTOS NATURAIS ASSOCIADOS;02007074000185 - FLORA MEDICINAL J. MONTEIRO DA SILVA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ESTAFILOIDE;10/05/1978;1978;NOVO;106030064;01/12/2004;25992000288;VACINAS;33236001000199 - INSTITUTO DE QUÍMICA E BIOLOGIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MARAX;28/06/1978;1978;NOVO;102160015;01/03/2014;25992006454;BRONCODILATADORES;46070868003699 - LABORATÓRIOS PFIZER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
